Zone,Time,Station,Temp
MTZ138,2021-07-28 18:18:00,WWMM8,27.778
MTZ138,2021-07-28 17:59:00,LBHM8,32.222
MTZ138,2021-07-28 17:53:00,KSHR,30.6
MTZ138,2021-07-28 17:48:00,BRTM8,18.333
MTZ138,2021-07-28 17:29:00,HBOM8,28.889
MTZ138,2021-07-28 17:18:00,PMRM8,22.778
MTZ138,2021-07-28 17:18:00,WWMM8,28.333
MTZ138,2021-07-28 16:59:00,LBHM8,30
MTZ138,2021-07-28 16:53:00,KSHR,31.7
MTZ138,2021-07-28 16:48:00,BRTM8,20.556
MTZ138,2021-07-28 16:29:00,HBOM8,28.889
MTZ138,2021-07-28 16:18:00,PMRM8,19.444
MTZ138,2021-07-28 16:18:00,WWMM8,27.222
MTZ138,2021-07-28 15:59:00,LBHM8,27.222
MTZ138,2021-07-28 15:53:00,KSHR,28.9
MTZ138,2021-07-28 15:48:00,BRTM8,19.444
MTZ138,2021-07-28 15:29:00,HBOM8,28.889
MTZ138,2021-07-28 15:18:00,PMRM8,18.333
MTZ138,2021-07-28 15:18:00,WWMM8,25
MTZ138,2021-07-28 14:59:00,LBHM8,26.66702
MTZ138,2021-07-28 14:53:00,KSHR,28.9
